"Day","Property","Player Name","Ad Impressions","Publisher Demand Revenue"
"24-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",326,1.63
"25-DEC-2023","commandcooking.com","Command Cooking - Mobile",5580,14.21
"25-DEC-2023","commandcooking.com","Commandcooking_Control",1269,4.08
"25-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",241,0.83
"26-DEC-2023","commandcooking.com","Command Cooking - Mobile",8542,20.66
"26-DEC-2023","commandcooking.com","Commandcooking_Control",2046,7.21
"26-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",988,3.98
"27-DEC-2023","commandcooking.com","Command Cooking - Mobile",8884,18.65
"27-DEC-2023","commandcooking.com","Commandcooking_Control",1965,6.52
"27-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",1464,3.69
"28-DEC-2023","commandcooking.com","Command Cooking - Mobile",8859,19.34
"28-DEC-2023","commandcooking.com","Commandcooking_Control",2318,9.53
"28-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",838,2.59
"29-DEC-2023","commandcooking.com","Command Cooking - Mobile",8697,16.62
"29-DEC-2023","commandcooking.com","Commandcooking_Control",1926,6.72
"29-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",961,2.18
"30-DEC-2023","commandcooking.com","Command Cooking - Mobile",8992,14.65
"30-DEC-2023","commandcooking.com","Commandcooking_Control",2056,4.55
"30-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",1191,2.40
"31-DEC-2023","commandcooking.com","Command Cooking - Mobile",3393,8.27
"31-DEC-2023","commandcooking.com","Commandcooking_Control",1210,3.07
"31-DEC-2023","www.stilt.com","Stilt.com_In-feed_Elements_D/M",476,1.33
"01-JAN-2024","commandcooking.com","Command Cooking - Mobile",2702,5.48
"01-JAN-2024","commandcooking.com","Commandcooking_Control",767,1.66
"01-JAN-2024","www.stilt.com","Stilt.com_In-feed_Elements_D/M",600,1.36
"02-JAN-2024","commandcooking.com","Command Cooking - Mobile",3698,8.70
"02-JAN-2024","commandcooking.com","Commandcooking_Control",1676,3.59
"02-JAN-2024","www.stilt.com","Stilt.com_In-feed_Elements_D/M",1015,2.10
"Total:",,,265884,658.57
